word,raw_freq
일반,7245
적,201271
으로,209856
건물,3100
면적,800
에,569117
비하,3287
어서,98533
부지,269
이,1302004
크,27920
면,99214
ᆯ수록,4325
대하,47962
ᆫ,732627
제약,863
은,557634
고,394767
지상,794
견고하,70
다,692982
월세,119
를,429633
살,22429
면서,37154
투자,3022
하,1416412
라,37464
실제로,4845
미국,10784
조지아,72
주,77650
의,696475
농촌,607
있,360405
는,977125
어떤,22304
지역,8552
에서,203895
농민,599
텔레비전,1198
출연,776
어,560164
칸나,10
비스,18
가,397461
담배,1195
보다,32353
도,226714
훨씬,5383
수익,1258
을,829066
가져오,2019
므로,6051
재배,1298
호의,404
또,16716
눈감,48
정치가,173
군,3063
보안관,48
선출,114
것,268180
라고,46164
사정,1114
설명,10124
었,518755
새롭,13534
설비,549
나,135763
장치,2692
도입,1568
되,282431
경우,27224
다만,2509
다시,15926
3,21543
번,22955
째,7425
고로,87
2013,703
년,53690
까지,34637
계획,5811
는데,31526
과연,1830
로,158821
규모,3284
경제,4750
나오,17876
ᆯ,284802
수,158219
을지,2937
미지수,36
자부심,358
박수,398
통하,20206
스스로,7885
과,159094
자존감,786
심,3521
싶,18448
사람,77777
현재,7015
모습,11542
차이,6044
줄이,3302
효과,11320
보,93309
그러나,20421
의사,6561
결정,7952
이루어지,5822
지,221292
않,106161
다고,34611
쉬,2908
아니,57993
ᆸ니다,65305
모두,15353
정보,8508
수집,1035
대안,951
고민,3371
회의,1578
다수,1199
참석,770
논의,1522
처럼,27473
어느,11344
나라,6718
유행,1684
지만,52349
다른,28848
아직,6411
없,82758
얼마,3300
든지,2470
많,36410
꼭,4191
기억,7403
두,36500
어야,70920
신기,806
사실,20023
지금,14980
세상,9586
부,5165
와,107502
권력,1451
양상,791
정반대,423
라는,41830
변동,497
성,44502
중,28898
상당,1463
부분,11976
예측,1897
가능,16928
특정,3813
백화점,326
고객,3102
약,9939
80,1294
퍼센트,2603
요,11460
일과,287
시간,27119
휴일,176
여부,1263
따르,23221
선도,247
장래,314
일정,3012
시기,5475
가격,2923
금융,678
상품,2480
주고받,730
기,160263
약정,52
파생,322
일종,2101
하지만,19567
갑자기,2972
일,55685
실패,2819
ᆫ다,240985
더라도,5897
왠지,484
살아남,950
거,26951
느낌,5464
분명히,1654
들,248342
또한,12521
세계,15485
화,22347
결과,12429
이해관계,128
절대로,848
고르,2304
평등,730
그러,11962
못하,20186
당신,11773
다음,17637
같,46770
오래,4864
농담,577
등장,5001
다르,14455
바,4371
모르,16114
씨이오,292
최종,1194
후보자,90
명단,185
오르,3858
비결,527
대단,930
완수,159
하고,1561
누구,12284
ᆫ가,18844
그,146943
듣,14775
대단하,312
드러나,2515
게,196659
만들,37870
기업,4504
전략,3216
변화,12086
영업,969
따라가,736
중국,5451
당국,392
옥죄,37
우려,925
비씨쥐,26
매트릭스,84
포트폴리오,135
시장,5459
점유,286
율,2006
성장,5201
률,2249
나누,6494
으나,5547
산업,4535
및,7953
사업,4522
구조,6902
개편,90
판단,3977
때,68885
함께,16474
고려,3489
창업,541
준비,6010
가장,23185
먼저,7447
하나,20186
상호,2379
경쟁업체,11
의도,2523
고스란히,435
노출,2005
때문,45388
한국,7079
내용,9568
부실,174
책,16381
겠,24747
그런,13812
번역,2658
희박하,18
반면,3533
관련,8306
수준,5006
낮,5337
인터뷰,1310
공포,1839
경직,272
동료,1986
지원자,197
이렇,13137
듯,11545
인위,460
복사,594
인쇄물,75
답변,659
내놓,1175
오히려,4456
자연,11042
스럽,11887
정감,103
진솔,118
ᆷ,35832
녹,1259
ᆫ다면,11360
확실하,378
플러스,201
요인,2418
인간,17951
자신,37103
편리,750
대로,6304
편집,1267
주관,1108
해석,3237
습니다,50415
프레임,666
활용,5298
느냐,2727
따라서,7869
여론,266
반응,6454
달라지,2798
통화량,13
불변,186
ᆫ데,9630
실질,711
국민,2048
소득,841
증가,4575
통화,454
수요,865
인하,4934
이자,466
상승,1629
엘,1290
엠,2788
곡선,629
우상,172
향,1751
생각,45798
이제,9432
돈,7347
좀,7373
벌,3124
어차피,455
원래,2737
다는,36090
1,32112
점,15426
당,3244
만,70819
원,8712
게임,5605
쉽,12730
외치,997
예컨대,887
월,11771
10,10450
케이쥐,305
감량,302
잇,2853
다가,10870
주일,883
쯤,2504
지나,7820
5,13598
케이,1424
쥐,5553
정도,20216
마음속,652
목표,5485
떨어지,7002
죠,8743
국가,4870
지도자,900
대표,4817
뽑,1131
거창,208
담론,527
공약,82
난무,119
사회,14884
문제,22195
해결,5149
데,20585
감사,2168
채프,5
먼,127
조정,1395
윌슨,213
가족,6828
약탈,184
위하,41540
일탈,199
표현,13325
에너지,6271
확보,1831
둘러싸,973
신,8909
국제,1909
질서,1360
전망,697
시사점,75
삼성경제연구소,24
2004,565
기본,5364
골격,327
공통점,596
으므로,3527
월급,295
명세서,96
비교,5029
도움,6972
상인,503
연합회,41
이벤트,575
진행,5863
과정,13521
투명,789
공개,1234
모든,19813
에게,68943
고루,205
돌아가,3895
도록,19301
이런,22817
믿음,1548
기반,1873
자,39460
각종,1705
행사,1745
마다,7340
나서,2174
톡톡,95
튀,393
아이디어,2043
내,30507
콘텐츠,1375
분석,4833
청중,1377
공간,8368
적절,2837
상기,574
시키,26561
행동,12075
일상,3696
속,21217
신호,2141
종류,4662
을까,8527
자문,363
삼월,21
삼매경,26
빠지,5949
열중,255
달,9310
행복,5401
새봄,13
맞,8579
으세요,319
15,3286
중단,997
강렬,855
문구,596
사용,23883
차단,747
생활,8694
ᆫ다는,21218
불안감,584
시시때때로,33
우울,1020
하루하루,356
마음,19016
괴롭,584
인터넷,2166
검색,789
며,51960
찾,13186
헤매,433
곤,2942
일본,6206
자동차,4163
반도체,409
가전,94
제품,4013
등,38692
수출,507
막대,624
이익,1757
얻,9646
종전,175
같이,10027
조직,4558
충실,768
사원,593
요구,4256
의욕,610
환기,423
생산,5388
한계점,13
이르,6204
말,89496
뭐,7458
확인,5624
북한,878
서,17185
물건,3139
거래,1055
신용,293
버블,60
부채,409
일면,111
는다,23581
회계,228
법인,375
소속,541
임직원,42
원칙,2046
경영,1456
방침,215
활동,8657
대부분,7967
기버,7
꼴찌,58
믿,5564
발품,42
고자,5091
지도,2468
캡쳐,8
출력,473
이때,3220
축적,934
아파트,1403
이름,8648
확대,1487
연락,1017
기다리,3943
자기,14946
편,6205
전부,1866
맡기,1207
즉,10673
이나,32579
다름없,436
수입,1404
감소,2245
순,1065
대답,3578
간단하,546
불가능,13
순응,282
예,9357
지력,58
우리,48095
일생,510
살아가,2951
동안,11933
수많,3187
부딪치,490
제,13601
2,25423
차,12947
대전,1217
이후,7822
골디락스,10
강력,2321
중산,148
층,4109
육성,440
호사,78
누리,1415
매출,719
일어나,9879
비용,2969
발생,7789
시스템,3663
철저히,524
무,6841
자본,810
대출,429
받,32868
으면서,3656
적자,193
비즈니스,725
센터,1392
성공,7179
안착,54
대,16992
왕,3134
태종,95
노비,53
양인,21
결혼,3978
철저,808
금지,1278
가정,4243
가운데,4945
상당수,414
멀쩡,159
하루아침,137
사라지,4546
버리,11247
저,18338
정육점,35
마트,322
사,11528
먹,19786
왜,7816
최소,1185
절세,34
무시,1754
그리고,24043
전역,503
돼지,1005
사료,468
공장,1877
23,1873
개,16610
늘리,1246
정복,484
방송,1896
낄낄거리,22
책임감,441
질문,6673
정답,641
서비스,2599
구체,3358
제공,4487
50,2749
오씨티,9
쩜,11296
1989,267
이것,13834
패자,68
태도,3846
그래프,295
전기,3597
하드웨어,180
얼마나,5929
성능,818
는지,17242
보이,30088
더,42175
소비,1758
줄,6438
전력,736
의미,15745
진정,2946
자신감,1682
균형,2166
잡히,1182
제인,297
애플,289
게이트,91
로서,8330
다양,10856
경로,915
배우,9610
적용,3639
상담,1384
응용,687
물론,9206
웹,449
취급,880
거부,1619
포함,5393
강,4086
의지력,71
움직이,5364
도자기,332
굽,1391
장인,439
정신,7674
만족,2226
과감히,175
자는,1088
가지,37191
임하,358
인정,4336
업무,2111
메일,301
회신,55
무조건,946
이내,1089
좋,35227
꽤,1628
엄격,930
외면,511
동기,1926
목적,4953
각각,3961
조화,1601
는가,9283
잣대,181
중요,19064
예상,2290
가치,6277
리스크,235
감수,856
보답,148
진,936
복,1171
거침없이,132
하위징아,6
놀이,3273
근본,1592
특징,4063
척,1306
덕분,2243
완전히,4030
나아가,2721
안,29562
역할,7522
맡,2498
강점,364
깨닫,3153
으며,18327
중점,383
명확하,311
검토,1242
아주,8068
흥미,3095
롭,9010
명심,488
저자,1430
약력,27
접근,2575
평가,5083
논리,2433
결합,2884
56,534
팬덤,94
알아보,1957
서구,740
권,7413
어요,20206
추천,1192
정주영,38
회장,828
어록,40
성금,18
이란,4026
공사,1244
진척,92
시공,751
사가,83
설계,2715
사무소,174
감리,67
로부터,5410
기성,243
청구,340
도장,346
건축주,231
제시,3995
지급,561
방식,9841
뉴욕타임스,67
베스트셀러,241
목록,925
올리,4563
못,14830
많이,14774
팔리,780
나가,9340
선보이,590
금,2083
토,601
드라마,2249
방영,263
시작,22616
이태원,48
신드롬,79
일으키,4338
할리우드,494
액션,819
스타,1286
실베스터,18
스탤론,11
이야기,21185
들려주,793
저가,134
고가,279
오클랜드,29
뷰익,4
4,13605
6,8690
올즈,3
캐딜락,19
배치,1546
14,2180
미래,4162
부동산,708
좀처럼,457
결단,204
내리,5599
보고,1530
초안,122
식,6691
의견,2801
밝히,3416
앞,13644
한,48475
칸,840
강연장,33
균,1168
실,1822
나약,187
그지없,179
불과,2410
빌딩,423
얼굴,6412
코카콜라,108
생수,166
브랜드,1496
비타민,1400
함유,1015
몸,15138
청정,186
건강,7922
복원,482
보호,3184
상쾌,200
재,5780
충전,484
주장,6414
펩시,22
수돗물,145
포장,840
개선,2054
인기,2388
아이슬란드,99
프랑스,3888
캐나다,598
제안,1955
협상,663
전술,440
대응,1643
방법,19007
일원,329
으로서,4512
책임,2056
과거,4737
여러,12435
차례,1899
과제,1724
다루,4206
오,33868
주요,2609
세무,34
신고,536
거치,2957
급격,380
공업,360
이상,16077
농업,1235
종사,331
도시,6301
노동자,1085
늘,8152
식량,890
부족,4904
심각,1631
그림,12631
여인,1791
어떻,15928
기술,11731
매력,2341
못생기,154
여자,7791
머리,6187
위,14487
커다랗,1981
깃털,533
왼쪽,1647
볼,1955
패,586
보조개,22
손가락,1895
반지,397
값싸,190
효율,1959
내연,160
기관,3636
밀리,621
실용,679
가솔린,97
주류,576
이루,5941
역사,6969
미첼,75
스티븐스,28
타블로이드,6
독자,4052
추구,2162
흔적,1147
16,2167
세기,6761
17,1932
거스르,607
추적,635
교육,8948
제대로,4796
대중,3220
팸플릿,59
짜리,984
신문,1719
널리,1756
보급,659
뿐,16053
최근,3930
에이오엘,6
가입자,118
대상,6635
설문,278
조사,4163
걱정,3723
으로부터,3327
해방,833
ᆯ까,13203
지능,1330
높,11952
뛰어나,2650
능력,8910
갖추,3324
부인,2420
파손,115
방지,1251
혼자,3992
눈보라,62
갇히,719
여행자,210
얼,685
죽,8369
던,54592
업,874
선,5103
싱,58
서로,9394
체온,562
하기스,3
국내,2031
종이,2176
기저귀,298
일컫,845
만큼,8121
20,6291
여,4118
넘,4443
자리,7406
단,4521
놓치,1176
카페,1307
집,17525
짓,8236
사진,6466
묻,6463
조언,1108
잘,28949
가꾸,479
그것,20037
상황,13430
놓이,1826
만일,1543
다면,16302
상대방,3260
찾아가,1255
솔직히,467
오른쪽,1684
상점,277
70,1167
할,118
인,4967
내걸,163
75,464
할인,186
새로,1435
창출,682
은행,809
화폐,235
전체,6672
퍼지,1757
소비자,1900
예전,1913
비율,1736
확립,611
자마자,1149
저축,244
충분,2103
재계,39
이용,9124
제한,2235
잘못,4793
음,16041
명백,450
무턱대고,127
퇴사,115
죄책감,484
괴로움,265
느끼,15847
사후,359
라도,7140
조퇴,15
사유,880
양해,90
구하,2940
최대,1910
온라인,1004
지불,713
결제,191
페이팔,9
창업자,179
실리콘밸리,56
최고,4127
벤처,176
투자자,406
명,12659
피터,380
티엘,7
회사,6302
25,1668
억,3162
달러,1984
기주,46
합계,67
삼성전자,200
케이씨씨,3
에스,3003
첫,5910
임기,120
지지,1488
성적,1420
두드러지,595
핵심,2972
거래처,96
잃,3874
후,17175
전국,1153
상위,525
끌,2486
예산,726
삭감,47
부서,499
기발,210
고안,498
배우자,576
없이,9888
자녀,4135
대학,5396
보내,8007
대학원,647
학위,622
취득,357
어마어마,219
기회,4345
찾아내,1462
탁월,577
성과,1527
평균,2080
땅,4205
재미있,2183
체,1679
당시,7953
음식,7459
체하,41
정확히,1829
알,35130
나중,2595
으려고,1226
음식물,591
마찬가지,5467
현금,387
쓰,32711
대만,181
보이스피싱,12
외교,229
비화,48
성인,1672
인구,1787
000,2934
전화,2715
사기,824
가담,118
추정,1442
까닭,965
주제,4816
그런데,10679
나무,5885
줄어들,1846
아마존,249
밀림,68
점점,3552
개발,6721
산림,413
단기,442
초점,1605
지속,3905
직무,365
성과주의,6
여느,308
공원,950
잔디밭,79
신문지,85
깔,504
식사,3067
장소,3495
차지,2485
쟁탈전,28
불편,2017
밖에,6255
의심,1916
아하,83
그렇,28025
군요,709
간편하,76
이유,12335
지폐,103
대신,4668
대용품,35
받아들이,4297
아내,3581
전,22548
저지르,854
그러면,2474
먼지,1111
덜,2060
날리,762
힘들,6897
우회,147
길,14013
험난,86
코스,692
선택,8167
자고,1130
행렬,202
심하,3430
동요,331
몇몇,1475
무리,2234
광,1164
흥분,1153
상태,11588
이탈,225
기업인,51
어도,23765
산다,3
어떠,1478
박탈,143
몽골,201
침공,115
대가,1052
무역풍,7
밤낮,168
으르렁대,19
묵,515
낡,595
호텔,1167
위협,1528
심지어,2555
꿈속,104
따라오,342
부부,2489
조만간,167
남편,3897
맞닥뜨리,188
뉴욕,1635
시,28908
콜럼버스,113
거리,6179
북,1028
컬처,32
매장,971
유피에스,9
페덱스,12
배달원,10
계속,9260
박스,423
배달,424
여러분,3162
스트레스,3212
풀,4997
ᆸ니까,1325
차선,134
존재,11416
커뮤니케이션,972
참가비,12
무료,468
판매,2390
수수료,198
제작비,209
외,4371
금전,246
만족감,269
나이,4238
40,2374
30,4364
청년,1166
젊,3299
영,1939
포티,17
60,1631
세,16811
은퇴,598
너무,9307
채권자,63
채무자,57
사이,10906
체결,302
약속,1869
주인,1871
매운탕,29
무엇,13467
ᆫ지,13508
한마디,848
가르치,3560
반대,4393
대처,1105
전쟁,3991
이기,2361
려면,4899
유리,2280
고지,200
점령,294
경쟁,2964
요충지,28
선점,108
피하,3309
니즈,125
직접,6581
만나,9398
지점,1524
향하,4721
발걸음,265
붙잡,627
최상,381
길목,117
펩시콜라,21
바로,13166
금리,278
유럽,3651
필요,23311
곳간,37
빼,1913
셈,2320
사장,1203
임금,1022
노동,1355
디지털,1640
시티,126
자가,410
출판,1280
도구,2320
회원,859
커뮤니티,293
솔직,696
대화,6208
참여,3153
이러하,1984
촉각,238
피드백,542
로봇,1190
합치,953
거나,24662
혹은,6051
튕기,187
이러,10901
